COUNTRY,EDATE,PARTY,PERVOTE,VOTEEST,PRESVOTE,ABSSEAT,TOTSEATS,PROGTYPE,PER101,PER102,PER103,PER104,PER105,PER106,PER107,PER108,PER109,PER110,PER201,PER202,PER203,PER204,PER301,PER302,PER303,PER304,PER305,PER401,PER402,PER403,PER404,PER405,PER406,PER407,PER408,PER409,PER410,PER411,PER412,PER413,PER414,PER415,PER416,PER501,PER502,PER503,PER504,PER505,PER506,PER507,PER601,PER602,PER603,PER604,PER605,PER606,PER607,PER608,PER701,PER702,PER703,PER704,PER705,PER706,PERUNCOD,TOTAL,RILE,PLANECO,MARKECO,WELFARE,INTPEACE
11,18/9/1960,11810,13.6105191351243,0,99.99,34,232,1,0,0,0,0.6,0,1.9,0.6,0,0,0,2.5,0.6,1.2,0.6,3.7,0,5.6,0,0,6.2,6.2,0.6,0,0,2.5,0.6,0,0,2.5,1.2,0,0,11.8,0,0,0,1.9,1.2,19.3,1.2,5,0,0,0,3.7,0,2.5,0,0.6,0,0,0,6.2,0,0,3.1,99.99,151,6,0.6,18,20.5,1.9
11,20/9/1964,11220,5.22273881359844,0,99.99,8,233,1,0,0,0,0,0,0,0,0,0,0,0,3.4,0,0,0,0,0,0,0,0,0,6.9,5.2,0,0,0,0,0,1.7,0,5.2,13.8,0,0,0,0,0,0,15.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99,61,-50,17.3,0,15.5,0
11,20/9/1964,11320,47.26865263862,0,99.99,113,233,1,0,0,0.9,0,0,0,0,2.2,0,0,0.5,0,0,0,0,0,0.2,0,0,0,0.8,1.3,0.2,0,0,0.2,1.1,0.2,1.8,0.6,0.2,0,0.1,0,0,0,0.3,7.2,23.1,0,10.9,0,0,0,0,0,0,1.9,0.4,0,0.5,0,0,0,0,1.4,99.99,1255,-33.6,1.7,0.1,30.3,0
11,20/9/1964,11420,16.975278982896,0,99.99,42,233,1,0,0,0,0,0,0,21.3,0,0,0,1.9,9.7,0,0,0,0,0,0.5,0,1,0.5,0,1,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,5.3,10.6,16.4,0,4.4,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,1,99.99,336,-48.9,1,1,27,0
11,20/9/1964,11620,13.7220722694063,0,99.99,32,233,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.5,0,0,0,0,0,0,0,0,0,0,0,0,18.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.99,53,60.4,0,60.4,0,0
11,20/9/1964,11810,13.1808996226842,0,99.99,33,233,1,0,0,0,0.425531914893617,0,0.425531914893617,0.425531914893617,0,0,0,1.27659574468085,1.70212765957447,0,0,2.5531914893617,0,3.40425531914894,0,0,5.53191489361702,7.23404255319149,0,0,0,0,0,0,0,4.25531914893617,2.12765957446809,0,0,3.82978723404255,0,0,4.68085106382979,3.40425531914894,0.851063829787234,22.5531914893617,0,10.2127659574468,0,0,0,1.70212765957447,0,1.27659574468085,0,0,0,0,0,7.23404255319149,0.851063829787234,0,2.12765957446809,11.9148936170213,235,-14.0425531914894,0,9.36170212765957,23.4042553191489,0.425531914893617
11,15/9/1968,11220,3.00601795800247,0,99.99,3,233,1,0.5,0,8.2,0,1,0,6.3,0,0,0.5,1.5,8.2,0,0,0,0,0.5,0,0,0,0,7.3,0,0,0,0,0,0,1.9,0,5.3,4.8,0,0,0,1.5,0,12.1,5.3,0,1,0,0,0,0,0,0.5,0,0,0,1.5,0,0.5,0,1,1,99.99,206,-46.9,12.6,0,17.4,1
11,15/9/1968,11320,50.1156981052844,0,99.99,125,233,1,0,0,0,1.8,3.6,5.4,1.8,0,0,0,0,5.4,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,3.6,0,1.8,0,0,0,0,0,0,5.4,0,12.5,19.6,0,1.8,0,0,0,0,0,0,3.6,0,0,0,0,0,0,0,1.8,99.99,56,-42.9,10.7,0,32.1,9
11,15/9/1968,11420,14.255580272329,0,99.99,32,233,1,0,0,0,0,0,0,13.4,0,0,0,0,0,0,0,0,0,0,0,0,1,3.1,0,4.1,1,0,0,3.1,0,4.1,1,0,0,1,0,0,0,0,1,45.4,0,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99.99,97,-59.9,4.1,2,46.4,0
11,15/9/1968,11620,12.8594380354079,0,99.99,29,233,1,2.5,0,0,0,0,0.4,0,0.8,0,0,1.6,3.3,0,0,0,0,0,0,0,5.3,10.7,1.2,0,0,0,0,1.6,0,1.2,0,0,0,9.4,0,0,0,0,2.9,3.3,0,0,0,0,0,0.4,0,6.6,0,0,0,0,0,0,0,0,1.6,99.99,244,25.8,1.2,14.7,6.2,0.4
11,15/9/1968,11810,15.6793451083462,0,99.99,37,233,1,0.8,0,0,0.2,0,1.1,4.5,0.2,0,0,0.3,1.5,0,0.3,6.1,0,0.3,0,0,2.8,7,1.9,4,0.6,0,1.1,2.8,1.5,3.9,1.9,0,0,1.2,0,0,4.2,1.9,5.6,10.5,0.3,7.9,0,0,0,2.9,0,4,0,2.5,0,0,0,4.6,0,0.8,6.1,99.99,645,-11.6,5.9,4,16.1,1.1
11,20/9/1970,11220,4.75582151506894,0,99.99,17,350,1,0,0,0,0,0,0,0,0,0,1.3,0,5.1,0,0,0,0,0,0,0,0,1.3,11.5,0,0,0,0,1.3,0,3.8,0,15.4,3.8,0,0,0,11.5,2.6,12.8,0,0,0,0,0,0,0,0,0,0,0,0,6.4,1.3,0,0,0,0,99.99,78,-40.9,26.9,0,12.8,0
11,20/9/1970,11320,45.3432501452917,0,99.99,163,350,1,0.5,0,0,0,0,4.1,4.6,0.5,0,0,0,5.1,0,0,5.6,0,0,0,0,0,1,8.1,1,0.5,0,0.5,2.5,1.5,4.1,0.5,1,0,1.5,0,0,7.1,0.5,16.8,13.7,0,4.1,0,0,0,0,0,0,0,1,0,2.5,0,0.5,1,0,3.1,99.99,197,-41.2,10.1,1.5,30.5,4.1
11,20/9/1970,11420,16.2105150199068,0,99.99,58,350,1,0,0,0,0,0,3.3,2.4,0,0,0,0.8,10.6,0,1.6,1.6,0,0.8,0,0,0.8,1.6,5.7,3.3,0.8,0,0,1.6,0.8,2.4,0.8,0,0,1.6,0,0,8.9,0,8.9,14.6,0,3.3,0,0,0,1.6,0,3.3,0,0,0,0,1.6,0,0,0.8,4.9,99.99,123,-33.5,9,2.4,23.5,3.3
11,20/9/1970,11620,11.5311374391202,0,99.99,41,350,1,0,0,0,0,0,0,0,0,0,0,8.5,12.8,0,0,2.1,0,2.1,2.1,0,4.3,4.3,0,0,0,0,0,2.1,0,0,0,0,0,6.4,0,0,2.1,0,6.4,10.6,0,6.4,0,0,0,8.5,0,4.3,4.3,0,0,0,0,2.1,0,0,4.3,99.99,47,10.8,0,10.7,17,0
11,20/9/1970,11810,19.9189903291591,0,99.99,71,350,1,2.1,0,0,0,0,2.1,2.1,1,0,0,0,6.3,0,0,13.5,0,1,0,0,3.1,11.5,5.2,4.2,0,0,0,0,0,4.2,0,1,0,2.1,0,0,5.2,0,6.3,14.6,0,1,0,0,0,3.1,0,2.1,0,0,0,0,0,4.2,0,0,2.1,99.99,96,-14.6,10.4,5.2,20.9,2.1
11,16/9/1973,11220,5.32793064382287,0,99.99,19,350,1,0.8,0,0,0,1.7,0,5.8,0,0,2.5,2.5,6.6,0,2.5,0.8,0.8,0,0,0,0.8,0.8,8.3,0.8,0,0.8,0,1.7,0,1.7,2.5,3.3,4.1,0,0,0,9.9,0,2.5,8.3,0,5.8,0,0,0,0,0,1.7,0,3.3,0,3.3,0,0,0,0.8,1.7,99.99,123,-43,12.4,0.8,10.8,1.7
11,16/9/1973,11320,43.5593682814401,0,99.99,156,350,1,0,0,0,0,0,2.6,0,0,0,0,0,7.7,0,0,0,0,0,0,0,0,0,5.1,0,0,0,0,7.7,0,0,0,0,0,5.1,0,0,0,0,10.3,12.8,0,0,0,0,0,0,0,0,15.4,0,0,0,0,0,0,0,0,99.99,41,-7.7,5.1,5.1,23.1,2.6
11,16/9/1973,11420,9.41888078360574,0,99.99,34,350,1,0,0,0,0,0,0,2,0,0,0,4.7,8.7,0.7,1.3,6.7,0.7,0,0,0,4,1.3,4.7,1.3,1.3,0,0,3.4,2,2,3.4,0,0,4,0,0,12.1,0,6,7.4,0,4.7,0,0,0,1.3,0,1.3,0,1.3,0,0,0,0,0,0.7,1.3,99.99,149,-11.5,6,8,13.4,0
11,16/9/1973,11620,14.2938591272417,0,99.99,51,350,1,0,0,0,1.3,0,2.6,0,0,0,0,2.6,2.6,0,1.3,2.6,0,0,0,0,11.8,7.9,0,0,0,0,0,1.3,0,1.3,0,0,0,3.9,0,0,6.6,0,10.5,10.5,0,9.2,0,0,0,6.6,0,7.9,2.6,1.3,0,0,0,1.3,0,0,1.3,99.99,76,19.7,0,15.7,21,2.6
11,16/9/1973,11810,25.100956445806,0,99.99,90,350,1,0.6,0,0,0.6,0,1.2,1.2,0,0,0,0.6,7.5,0.6,1.2,14.4,0,0,0,0,0,4,8,1.7,0,0,0,4.6,4,0,1.7,0,0,1.2,0,0,6.9,0.6,5.2,12.6,0,4.6,0,0,0,4.6,0,1.2,0,2.3,0,0,0,3.4,0,0,4,99.99,167,-24,9.7,1.2,17.8,1.2
